ID,Wij [E],Wij [S],Wij [A],Wij [C],Wij [FA],Wij [TP],Wij [D1],Wij [D2],ISTCU
2191,0.064,-0.009,0.077,-0.199,-0.325,-0.151,-0.016,-0.268,-0.826
2192,0.023,0.033,-0.021,-0.199,-0.325,-0.151,-0.016,-0.268,-0.924
2193,0.023,-0.060,-0.046,-0.199,-0.075,-0.033,-0.016,-0.268,-0.673
2194,0.023,0.047,-0.046,-0.032,-0.039,-0.003,-0.016,-0.268,-0.333
2195,0.023,0.046,-0.020,0.069,0.181,0.030,0.024,-0.268,0.086
2196,0.023,-0.009,-0.061,-0.010,0.093,-0.003,0.024,-0.268,-0.211
2197,-0.671,0.002,-0.061,-0.069,-0.039,-0.003,0.022,-0.268,-1.086
2198,-0.671,-0.184,-0.020,-0.069,-0.075,-0.033,0.022,-0.268,-1.297
2199,-0.671,-0.184,-0.002,-0.069,-0.140,-0.031,0.027,-0.289,-1.358
2200,-0.671,0.002,-0.046,-0.069,0.009,-0.033,0.027,-0.289,-1.068
2201,-0.671,0.046,-0.046,0.000,0.093,-0.031,-0.023,-0.289,-0.919
2202,-0.671,0.074,-0.046,0.095,0.093,0.030,-0.023,-0.289,-0.736
2203,-0.671,0.046,-0.016,0.000,-0.039,0.030,-0.023,-0.289,-0.961
2204,-0.671,0.046,-0.002,-0.199,-0.075,-0.033,-0.114,-0.289,-1.335
2205,-0.671,-0.009,-0.002,0.069,-0.039,0.023,-0.114,-0.289,-1.031
2206,-0.671,-0.184,-0.002,0.000,-0.039,0.023,-0.114,0.074,-0.912
2207,0.057,-0.009,-0.002,-0.199,-0.325,-0.151,0.040,0.161,-0.428
2208,0.057,-0.184,-0.020,0.000,0.009,0.030,-0.016,0.013,-0.110
2209,0.085,-0.184,0.077,-0.069,-0.075,-0.033,-0.016,-0.268,-0.482
2210,0.085,-0.184,0.077,-0.069,-0.075,-0.151,-0.016,-0.268,-0.600
