Time;Acceleration
9.16;-0.00155525
9.17;-0.00168716
9.18;-0.00174516
9.19;-0.00145688
9.2;-0.00102946
9.21;-0.000674108
9.22;-0.000108869
9.23;0.000634964
9.24;0.000721814
9.25;-0.00025525
9.26;-0.00136269
9.27;-0.00171906
9.28;-0.00176116
9.29;-0.00193843
9.3;-0.00134495
9.31;0.000758206
9.32;0.00311274
9.33;0.00400622
9.34;0.00375341
9.35;0.00382161
9.36;0.00437064
9.37;0.00459582
9.38;0.00470479
9.39;0.00539225
9.4;0.00599388
9.41;0.00541213
9.42;0.00449205
9.43;0.00516198
9.44;0.00713639
9.45;0.00783904
9.46;0.00582548
9.47;0.00241529
9.48;-0.000648012
9.49;-0.00296758
9.5;-0.00455066
9.51;-0.00477299
9.52;-0.00342661
9.53;-0.0014844
9.54;-0.000124873
9.55;0.000411009
9.56;0.000461672
9.57;0.000159123
9.58;-0.0005263
9.59;-0.00123588
9.6;-0.00129286
9.61;-0.000348114
9.62;0.00113129
9.63;0.00229185
9.64;0.00270061
9.65;0.00262589
9.66;0.00244251
9.67;0.0021791
9.68;0.00172345
9.69;0.00114811
9.7;0.000640979
9.71;0.000327115
9.72;0.000247604
9.73;0.000325178
9.74;0.000351274
9.75;0.000088583
9.76;-0.000559021
9.77;-0.00143527
9.78;-0.00219918
9.79;-0.00266524
9.8;-0.00309185
9.81;-0.00376126
9.82;-0.00430173
9.83;-0.00403486
9.84;-0.00299399
9.85;-0.00176208
9.86;-0.000348624
9.87;0.00147706
9.88;0.00289103
9.89;0.00257676
9.9;0.000936188
9.91;-0.000008155
9.92;0.00085841
9.93;0.00265403
9.94;0.00436656
9.95;0.0060422
9.96;0.00770377
9.97;0.00862599
9.98;0.00835433
9.99;0.00727645
10;0.00578267
10.01;0.00395576
10.02;0.00208308
10.03;0.000551478
10.04;-0.000799185
10.05;-0.00228104
10.06;-0.00360897
10.07;-0.0043528
10.08;-0.00474404
10.09;-0.00515678
10.1;-0.00537564
10.11;-0.0051579
10.12;-0.00485352
10.13;-0.00470449
10.14;-0.00432334
10.15;-0.00345056
10.16;-0.00235668
10.17;-0.000987258
10.18;0.00119378
10.19;0.00388084
10.2;0.00569195
10.21;0.00590296
10.22;0.00537961
10.23;0.0051157
10.24;0.00504241
10.25;0.00477085
10.26;0.00448685
10.27;0.00445454
10.28;0.00449297
10.29;0.00441539
10.3;0.00435311
10.31;0.00436748
10.32;0.0043369
10.33;0.00431346
10.34;0.00430377
10.35;0.00382171
10.36;0.00240347
10.37;0.000494495
10.38;-0.00103527
10.39;-0.00206575
10.4;-0.00315535
10.41;-0.00429704
10.42;-0.00475046
10.43;-0.0041739
10.44;-0.00319368
10.45;-0.00251152
10.46;-0.00218277
10.47;-0.00193609
10.48;-0.00168451
10.49;-0.00141152
10.5;-0.0010159
10.51;-0.000515087
10.52;-0.000155759
10.53;-0.000144648
10.54;-0.000426707
10.55;-0.000794088
10.56;-0.00103415
10.57;-0.00102018
10.58;-0.00093894
10.59;-0.00134893
10.6;-0.00258012
10.61;-0.00399307
10.62;-0.00444628
10.63;-0.00369969
10.64;-0.00270805
10.65;-0.00212304
10.66;-0.00141539
10.67;-0.000199083
10.68;0.000642406
10.69;0.000322834
10.7;-0.000376453
10.71;-0.000689908
10.72;-0.00172314
10.73;-0.00476504
10.74;-0.00835005
10.75;-0.00954128
10.76;-0.00765025
10.77;-0.00478899
10.78;-0.00270438
10.79;-0.00137401
10.8;-0.000435168
10.81;-0.000143017
10.82;-0.000547706
10.83;-0.00125739
10.84;-0.00204016
10.85;-0.00285912
10.86;-0.00347034
10.87;-0.00363639
10.88;-0.00348797
10.89;-0.00327584
10.9;-0.00304455
10.91;-0.00274312
10.92;-0.00234608
10.93;-0.00181427
10.94;-0.00115209
10.95;-0.000335372
10.96;0.000885015
10.97;0.00269664
10.98;0.00476259
10.99;0.00664444
11;0.00840693
11.01;0.0099945
11.02;0.0105454
11.03;0.00942661
11.04;0.0074476
11.05;0.00577564
11.06;0.00429817
11.07;0.00233078
11.08;0.000367176
11.09;-0.000430785
11.1;-0.00002528
11.11;0.000623547
11.12;0.00113119
11.13;0.00181509
11.14;0.00259888
11.15;0.00300092
11.16;0.00297696
11.17;0.00290224
11.18;0.00297319
11.19;0.00327013
11.2;0.00396483
11.21;0.00483476
11.22;0.00510999
11.23;0.00436758
11.24;0.0031209
11.25;0.0020684
11.26;0.00143242
11.27;0.00121794
11.28;0.00134587
11.29;0.00127819
11.3;0.000369725
11.31;-0.00120805
11.32;-0.00273833
11.33;-0.00412559
11.34;-0.00558716
11.35;-0.00641131
11.36;-0.00552243
11.37;-0.00348716
11.38;-0.00226391
11.39;-0.00274393
11.4;-0.00376585
11.41;-0.00396718
11.42;-0.00331437
11.43;-0.00252416
11.44;-0.00213099
11.45;-0.00243486
11.46;-0.00335902
11.47;-0.00417074
11.48;-0.00411305
11.49;-0.00330612
11.5;-0.00240275
11.51;-0.00165708
11.52;-0.000989501
11.53;-0.00060051
11.54;-0.000747503
11.55;-0.00116453
11.56;-0.00137258
11.57;-0.00131865
11.58;-0.00124077
11.59;-0.0011738
11.6;-0.00103364
11.61;-0.000906626
11.62;-0.00089317
11.63;-0.00082263
11.64;-0.000397044
11.65;0.00049949
11.66;0.00169959
11.67;0.00283486
11.68;0.00353935
11.69;0.00376891
11.7;0.0038263
11.71;0.0038893
11.72;0.00376249
11.73;0.00328135
11.74;0.00266065
11.75;0.00211498
11.76;0.00143588
11.77;0.000291437
11.78;-0.000958818
11.79;-0.00123833
11.8;0.000158919
11.81;0.00258716
11.82;0.00476524
11.83;0.00624954
11.84;0.00765668
11.85;0.00920326
11.86;0.0099213
11.87;0.00896972
11.88;0.00702518
11.89;0.00544312
11.9;0.00461794
11.91;0.00410632
11.92;0.00367441
11.93;0.00339205
11.94;0.00311417
11.95;0.00275698
11.96;0.00271488
11.97;0.00341397
11.98;0.00468287
11.99;0.0060633
12;0.00735535
12.01;0.00858869
12.02;0.00982905
12.03;0.0111641
12.04;0.0125168
12.05;0.0135821
12.06;0.0142365
12.07;0.0147023
12.08;0.0149134
12.09;0.0142936
12.1;0.0125933
12.11;0.0103955
12.12;0.00831009
12.13;0.00633333
12.14;0.00433649
12.15;0.00253466
12.16;0.00106432
12.17;-0.000305607
12.18;-0.00158654
12.19;-0.00222569
12.2;-0.00179613
12.21;-0.000661162
12.22;0.00032528
12.23;0.00045209
12.24;-0.000599388
12.25;-0.00267462
12.26;-0.00516126
12.27;-0.00718379
12.28;-0.00812497
12.29;-0.00801162
12.3;-0.00739694
12.31;-0.00678909
12.32;-0.00633364
12.33;-0.00590499
12.34;-0.00538308
12.35;-0.00480285
12.36;-0.00434832
12.37;-0.00421121
12.38;-0.00443272
12.39;-0.0048472
12.4;-0.00524791
12.41;-0.00557931
12.42;-0.00591427
12.43;-0.0062896
12.44;-0.00667156
12.45;-0.00700877
12.46;-0.00724811
12.47;-0.00736014
12.48;-0.00740031
12.49;-0.00745525
12.5;-0.00753078
12.51;-0.0075894
12.52;-0.00765943
12.53;-0.00773986
12.54;-0.00768216
12.55;-0.00735464
12.56;-0.00687085
12.57;-0.00643394
12.58;-0.00605657
12.59;-0.00562834
12.6;-0.00516718
12.61;-0.00476534
12.62;-0.00438022
12.63;-0.00390795
12.64;-0.00344383
12.65;-0.00323099
12.66;-0.00335535
12.67;-0.00365158
12.68;-0.0039367
12.69;-0.00416972
12.7;-0.00440275
12.71;-0.00466646
12.72;-0.00493792
12.73;-0.00517584
12.74;-0.00539521
12.75;-0.00567594
12.76;-0.0060001
12.77;-0.00610866
12.78;-0.00568287
12.79;-0.00473812
12.8;-0.0036422
12.81;-0.00267319
12.82;-0.00175178
12.83;-0.000730071
12.84;0.000309786
12.85;0.00125107
12.86;0.0021948
12.87;0.0032422
12.88;0.00426483
12.89;0.00517737
12.9;0.00613965
12.91;0.00721672
12.92;0.00822722
12.93;0.00920214
12.94;0.0105097
12.95;0.012053
12.96;0.0128665
12.97;0.0120775
12.98;0.00995168
12.99;0.00738012
13;0.00493629
13.01;0.0029792
13.02;0.00202579
13.03;0.00216177
13.04;0.00265596
13.05;0.00284506
13.06;0.00294771
13.07;0.00333231
13.08;0.00356167
13.09;0.00294251
13.1;0.00165739
13.11;0.000635576
13.12;0.000569827
13.13;0.00150255
13.14;0.00302987
13.15;0.0044209
13.16;0.00489551
13.17;0.00422793
13.18;0.00295525
13.19;0.00170703
13.2;0.000644546
13.21;-0.000410296
13.22;-0.00158216
13.23;-0.00281172
13.24;-0.00383598
13.25;-0.00433445
13.26;-0.00424975
13.27;-0.0039001
13.28;-0.00361835
13.29;-0.00342518
13.3;-0.00318767
13.31;-0.00290795
13.32;-0.00266198
13.33;-0.0024371
13.34;-0.00218644
13.35;-0.00192528
13.36;-0.00168736
13.37;-0.00145973
13.38;-0.00116809
13.39;-0.000698267
